Fold,PCC_Imputed,PCC_NonImputed
1,0.3473,0.6075
2,0.3847,0.5932
3,0.4305,0.6696
4,0.4202,0.6644
5,0.3784,0.6232
6,0.4508,0.6831
7,0.4259,0.6332
8,0.3958,0.6458
9,0.4349,0.6538
10,0.422,0.6584
